City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Atuona,PF,77.79,light rain,-9.8,-139.0333,Villa Enata
15,Kismayo,SO,77.32,overcast clouds,-0.3582,42.5454,Agan-Hotel
16,Phuket,TH,84.99,scattered clouds,8.0,98.25,The Surin
17,Sola,VU,81.88,moderate rain,-13.8833,167.55,Leumerus Bungalows
18,Bandarbeyla,SO,75.06,few clouds,9.4942,50.8122,JABIR HOTEL
21,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
23,Butaritari,KI,82.24,broken clouds,3.0707,172.7902,Isles Sunset Lodge
31,Sulangan,PH,79.02,broken clouds,11.1373,123.7228,Maia's Beach Resort
33,Rikitea,PF,78.71,broken clouds,-23.1203,-134.9692,People ThankYou
43,Poya,NC,83.23,overcast clouds,-21.35,165.15,
45,Kapaa,US,79.2,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Palauig,PH,79.0,overcast clouds,15.435,119.9045,Alperi Botique Resort
58,Hambantota,LK,76.1,overcast clouds,6.1241,81.1185,Bungalow 63
59,Aracataca,CO,83.98,broken clouds,10.5918,-74.1898,Hostal de los buendia
69,Vilhena,BR,75.42,thunderstorm with light rain,-12.7406,-60.1458,Hotel Mirage
72,Puerto Ayora,EC,75.94,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
80,Yotoco,CO,77.14,overcast clouds,3.8605,-76.3836,Alojamiento TURISTICO LA COMARCA
85,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
88,Lompoc,US,78.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
89,Codrington,AU,79.7,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
90,Paka,MY,76.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
94,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
96,Micheweni,TZ,78.64,broken clouds,-4.9667,39.8333,
102,Sao Jose Da Coroa Grande,BR,79.27,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
107,Jutai,BR,76.44,broken clouds,-5.1833,-68.9,
109,Hithadhoo,MV,82.29,overcast clouds,-0.6,73.0833,Scoop Guest House
110,Takoradi,GH,79.09,overcast clouds,4.8845,-1.7554,Raybow International Hotel
119,Quatre Cocos,MU,77.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
120,Chateaubelair,VC,77.61,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
130,Ngunguru,NZ,75.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
131,Hobyo,SO,75.33,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
133,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
138,Boa Vista,BR,84.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
143,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
145,Avarua,CK,77.05,heavy intensity rain,-21.2078,-159.775,Paradise Inn
146,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
148,Linden,GY,78.94,broken clouds,6.0,-58.3,Crimson Bat Hotel
150,Nicoya,CR,85.55,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
151,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
152,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,Isangel,VU,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
163,Lorengau,PG,84.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
164,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
165,Karratha,AU,80.44,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
173,Mirabela,BR,75.45,overcast clouds,-16.2628,-44.1644,Hotel e Restaurante Barril
175,Salinopolis,BR,78.64,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
180,Ahipara,NZ,79.86,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
