City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-02-06 20:24:52,-0.7393,-90.3518,84.16,88,53,8.01
1,Mataura,NZ,2022-02-06 20:24:53,-46.1927,168.8643,47.34,74,5,1.28
2,Albany,US,2022-02-06 20:24:53,42.6001,-73.9662,28.31,56,57,5.01
3,Chokurdakh,RU,2022-02-06 20:22:23,70.6333,147.9167,-39.57,100,91,2.21
4,Cape Town,ZA,2022-02-06 20:24:52,-33.9258,18.4232,67.12,75,20,6.91
5,Novikovo,RU,2022-02-06 20:24:54,51.1537,37.8879,29.43,92,100,10.36
6,Laguna,US,2022-02-06 20:24:55,38.421,-121.4238,69.44,53,0,1.99
7,Rikitea,PF,2022-02-06 20:24:56,-23.1203,-134.9692,79.12,70,1,17.02
8,Jatai,BR,2022-02-06 20:20:48,-17.8814,-51.7144,80.73,69,81,3.36
9,Boden,SE,2022-02-06 20:24:56,65.8252,21.6886,26.6,97,100,8.77
10,Atuona,PF,2022-02-06 20:24:57,-9.8,-139.0333,78.69,73,1,19.01
11,Fukue,JP,2022-02-06 20:24:37,32.6881,128.8419,43.9,62,96,16.82
12,Dabat,ET,2022-02-06 20:24:57,12.9842,37.765,52.32,50,0,3.18
13,Pangkalanbuun,ID,2022-02-06 20:24:58,-2.6833,111.6167,74.17,98,100,3.56
14,Cidreira,BR,2022-02-06 20:24:58,-30.1811,-50.2056,80.22,55,0,11.52
15,Gizo,SB,2022-02-06 20:21:58,-8.103,156.8419,82.71,79,100,13.24
16,Ankang,CN,2022-02-06 20:24:59,32.68,109.0172,28.42,94,100,2.3
17,Pierre,US,2022-02-06 20:23:40,44.3683,-100.351,45.86,43,40,1.01
18,Mar Del Plata,AR,2022-02-06 20:20:05,-38.0023,-57.5575,68.09,87,100,8.01
19,Thompson,CA,2022-02-06 20:23:48,55.7435,-97.8558,-3.84,54,20,8.05
20,Bluff,NZ,2022-02-06 20:25:00,-46.6,168.3333,48.31,72,3,5.14
21,Ushuaia,AR,2022-02-06 20:24:37,-54.8,-68.3,64.06,55,75,18.41
22,Pilikwe,BW,2022-02-06 20:25:01,-22.799,27.1938,72.61,54,80,10.8
23,Punta Arenas,CL,2022-02-06 20:24:16,-53.15,-70.9167,68.11,56,75,11.5
24,Hovd,MN,2022-02-06 20:25:01,48.0056,91.6419,-14.08,74,13,3.2
